code,description,system,severity
P0040,O2 Sensor Signals Swapped Bank 1 Sensor 1 / Bank 2 Sensor 1,ENGINE,HIGH
P0041,O2 Sensor Signals Swapped Bank 1 Sensor 2 / Bank 2 Sensor 2,ENGINE,HIGH
P0042,HO2S Heater Control Circuit Bank 1 Sensor 3,ENGINE,MEDIUM
P0043,HO2S Heater Control Circuit Low Bank 1 Sensor 3,ENGINE,MEDIUM
P0044,HO2S Heater Control Circuit High Bank 1 Sensor 3,ENGINE,MEDIUM
P0045,Turbo/Super Charger Boost Control Solenoid Circuit/Open,ENGINE,HIGH
P0046,Turbo/Super Charger Boost Control Solenoid Circuit Range/Performance,ENGINE,HIGH
P0047,Turbo/Super Charger Boost Control Solenoid Circuit Low,ENGINE,HIGH
P0048,Turbo/Super Charger Boost Control Solenoid Circuit High,ENGINE,HIGH
P0049,Turbo/Super Charger Turbine Overspeed,ENGINE,CRITICAL
P0050,HO2S Heater Control Circuit Bank 2 Sensor 1,ENGINE,MEDIUM
P0051,HO2S Heater Control Circuit Low Bank 2 Sensor 1,ENGINE,MEDIUM
P0052,HO2S Heater Control Circuit High Bank 2 Sensor 1,ENGINE,MEDIUM
P0053,HO2S Heater Resistance Bank 1 Sensor 1,ENGINE,LOW
P0054,HO2S Heater Resistance Bank 1 Sensor 2,ENGINE,LOW
P0055,HO2S Heater Resistance Bank 1 Sensor 3,ENGINE,LOW
P0056,HO2S Heater Control Circuit Bank 2 Sensor 2,ENGINE,MEDIUM
P0057,HO2S Heater Control Circuit Low Bank 2 Sensor 2,ENGINE,MEDIUM
P0058,HO2S Heater Control Circuit High Bank 2 Sensor 2,ENGINE,MEDIUM
P0059,HO2S Heater Resistance Bank 2 Sensor 1,ENGINE,LOW
P0060,HO2S Heater Resistance Bank 2 Sensor 2,ENGINE,LOW
P0061,HO2S Heater Resistance Bank 2 Sensor 3,ENGINE,LOW
P0062,HO2S Heater Control Circuit Bank 2 Sensor 3,ENGINE,MEDIUM
P0063,HO2S Heater Control Circuit Low Bank 2 Sensor 3,ENGINE,MEDIUM
P0064,HO2S Heater Control Circuit High Bank 2 Sensor 3,ENGINE,MEDIUM
P0065,Air Assisted Injector Control Range/Performance,ENGINE,MEDIUM
P0066,Air Assisted Injector Control Circuit or Circuit Low,ENGINE,MEDIUM
P0067,Air Assisted Injector Control Circuit High,ENGINE,MEDIUM
P0068,MAP/MAF Throttle Position Correlation,ENGINE,HIGH
P0069,Manifold Absolute Pressure Barometric Pressure Correlation,ENGINE,MEDIUM
P0070,Ambient Air Temperature Sensor Circuit,ENGINE,LOW
P0071,Ambient Air Temperature Sensor Range/Performance,ENGINE,LOW
P0072,Ambient Air Temperature Sensor Circuit Low,ENGINE,LOW
P0073,Ambient Air Temperature Sensor Circuit High,ENGINE,LOW
P0074,Ambient Air Temperature Sensor Circuit Intermittent,ENGINE,LOW
P0075,Intake Valve Control Solenoid Circuit Bank 1,ENGINE,MEDIUM
P0076,Intake Valve Control Solenoid Circuit Low Bank 1,ENGINE,MEDIUM
P0077,Intake Valve Control Solenoid Circuit High Bank 1,ENGINE,MEDIUM
P0078,Exhaust Valve Control Solenoid Circuit Bank 1,ENGINE,MEDIUM
P0079,Exhaust Valve Control Solenoid Circuit Low Bank 1,ENGINE,MEDIUM
P0080,Exhaust Valve Control Solenoid Circuit High Bank 1,ENGINE,MEDIUM
P0081,Intake Valve Control Solenoid Circuit Bank 2,ENGINE,MEDIUM
P0082,Intake Valve Control Solenoid Circuit Low Bank 2,ENGINE,MEDIUM
P0083,Intake Valve Control Solenoid Circuit High Bank 2,ENGINE,MEDIUM
P0084,Exhaust Valve Control Solenoid Circuit Bank 2,ENGINE,MEDIUM
P0085,Exhaust Valve Control Solenoid Circuit Low Bank 2,ENGINE,MEDIUM
P0086,Exhaust Valve Control Solenoid Circuit High Bank 2,ENGINE,MEDIUM
P0087,Fuel Rail/System Pressure Too Low,ENGINE,HIGH
P0088,Fuel Rail/System Pressure Too High,ENGINE,HIGH
P0089,Fuel Pressure Regulator Performance,ENGINE,MEDIUM
P0090,Fuel Pressure Regulator Control Circuit,ENGINE,MEDIUM
P0091,Fuel Pressure Regulator Control Circuit Low,ENGINE,MEDIUM
P0092,Fuel Pressure Regulator Control Circuit High,ENGINE,MEDIUM
P0093,Fuel System Leak Detected Large Leak,ENGINE,HIGH
P0094,Fuel System Leak Detected Small Leak,ENGINE,MEDIUM
P0095,Intake Air Temperature Sensor 2 Circuit,ENGINE,LOW
P0096,Intake Air Temperature Sensor 2 Circuit Range/Performance,ENGINE,LOW
P0097,Intake Air Temperature Sensor 2 Circuit Low,ENGINE,LOW
P0098,Intake Air Temperature Sensor 2 Circuit High,ENGINE,LOW
P0099,Intake Air Temperature Sensor 2 Circuit Intermittent/Erratic,ENGINE,LOW
P0100,Mass or Volume Air Flow Circuit Malfunction,ENGINE,HIGH
P0101,Mass or Volume Air Flow Circuit Range/Performance Problem,ENGINE,HIGH
P0102,Mass or Volume Air Flow Circuit Low Input,ENGINE,HIGH
P0103,Mass or Volume Air Flow Circuit High Input,ENGINE,HIGH
P0104,Mass or Volume Air Flow Circuit Intermittent,ENGINE,MEDIUM
P0105,Manifold Absolute Pressure/Barometric Pressure Circuit Malfunction,ENGINE,HIGH
P0106,Manifold Absolute Pressure/Barometric Pressure Circuit Range/Performance Problem,ENGINE,HIGH
P0107,Manifold Absolute Pressure/Barometric Pressure Circuit Low Input,ENGINE,HIGH
P0108,Manifold Absolute Pressure/Barometric Pressure Circuit High Input,ENGINE,HIGH
P0109,Manifold Absolute Pressure/Barometric Pressure Circuit Intermittent,ENGINE,MEDIUM
P0110,Intake Air Temperature Circuit Malfunction,ENGINE,MEDIUM
P0111,Intake Air Temperature Circuit Range/Performance Problem,ENGINE,MEDIUM
P0112,Intake Air Temperature Circuit Low Input,ENGINE,MEDIUM
P0113,Intake Air Temperature Circuit High Input,ENGINE,MEDIUM
P0114,Intake Air Temperature Circuit Intermittent,ENGINE,LOW
P0115,Engine Coolant Temperature Circuit Malfunction,ENGINE,HIGH
P0116,Engine Coolant Temperature Circuit Range/Performance Problem,ENGINE,HIGH
P0117,Engine Coolant Temperature Circuit Low Input,ENGINE,HIGH
P0118,Engine Coolant Temperature Circuit High Input,ENGINE,HIGH
P0119,Engine Coolant Temperature Circuit Intermittent,ENGINE,MEDIUM
P0120,Throttle/Pedal Position Sensor/Switch A Circuit Malfunction,ENGINE,HIGH
P0121,Throttle/Pedal Position Sensor/Switch A Circuit Range/Performance Problem,ENGINE,HIGH
P0122,Throttle/Pedal Position Sensor/Switch A Circuit Low Input,ENGINE,HIGH
P0123,Throttle/Pedal Position Sensor/Switch A Circuit High Input,ENGINE,HIGH
P0124,Throttle/Pedal Position Sensor/Switch A Circuit Intermittent,ENGINE,MEDIUM
P0125,Insufficient Coolant Temperature for Closed Loop Fuel Control,ENGINE,MEDIUM
P0126,Insufficient Coolant Temperature for Stable Operation,ENGINE,MEDIUM
P0127,Intake Air Temperature Too High,ENGINE,MEDIUM
P0128,Coolant Thermostat (Coolant Temperature Below Thermostat Regulating Temperature),ENGINE,MEDIUM
P0129,Barometric Pressure Too Low,ENGINE,LOW
P0130,O2 Sensor Circuit Malfunction Bank 1 Sensor 1,ENGINE,HIGH
P0131,O2 Sensor Circuit Low Voltage Bank 1 Sensor 1,ENGINE,HIGH
P0132,O2 Sensor Circuit High Voltage Bank 1 Sensor 1,ENGINE,HIGH
P0133,O2 Sensor Circuit Slow Response Bank 1 Sensor 1,ENGINE,MEDIUM
P0134,O2 Sensor Circuit No Activity Detected Bank 1 Sensor 1,ENGINE,HIGH
P0135,O2 Sensor Heater Circuit Malfunction Bank 1 Sensor 1,ENGINE,MEDIUM
P0136,O2 Sensor Circuit Malfunction Bank 1 Sensor 2,ENGINE,HIGH
P0137,O2 Sensor Circuit Low Voltage Bank 1 Sensor 2,ENGINE,HIGH
P0138,O2 Sensor Circuit High Voltage Bank 1 Sensor 2,ENGINE,HIGH
P0139,O2 Sensor Circuit Slow Response Bank 1 Sensor 2,ENGINE,MEDIUM
P0140,O2 Sensor Circuit No Activity Detected Bank 1 Sensor 2,ENGINE,HIGH
P0141,O2 Sensor Heater Circuit Malfunction Bank 1 Sensor 2,ENGINE,MEDIUM
P0142,O2 Sensor Circuit Malfunction Bank 1 Sensor 3,ENGINE,HIGH
P0143,O2 Sensor Circuit Low Voltage Bank 1 Sensor 3,ENGINE,HIGH
P0144,O2 Sensor Circuit High Voltage Bank 1 Sensor 3,ENGINE,HIGH
P0145,O2 Sensor Circuit Slow Response Bank 1 Sensor 3,ENGINE,MEDIUM
P0146,O2 Sensor Circuit No Activity Detected Bank 1 Sensor 3,ENGINE,HIGH
P0147,O2 Sensor Heater Circuit Malfunction Bank 1 Sensor 3,ENGINE,MEDIUM
P0148,Fuel Delivery Error,ENGINE,CRITICAL
P0149,Fuel Timing Error,ENGINE,CRITICAL
P0150,O2 Sensor Circuit Malfunction Bank 2 Sensor 1,ENGINE,HIGH
P0151,O2 Sensor Circuit Low Voltage Bank 2 Sensor 1,ENGINE,HIGH
P0152,O2 Sensor Circuit High Voltage Bank 2 Sensor 1,ENGINE,HIGH
P0153,O2 Sensor Circuit Slow Response Bank 2 Sensor 1,ENGINE,MEDIUM
P0154,O2 Sensor Circuit No Activity Detected Bank 2 Sensor 1,ENGINE,HIGH
P0155,O2 Sensor Heater Circuit Malfunction Bank 2 Sensor 1,ENGINE,MEDIUM
P0156,O2 Sensor Circuit Malfunction Bank 2 Sensor 2,ENGINE,HIGH
P0157,O2 Sensor Circuit Low Voltage Bank 2 Sensor 2,ENGINE,HIGH
P0158,O2 Sensor Circuit High Voltage Bank 2 Sensor 2,ENGINE,HIGH
P0159,O2 Sensor Circuit Slow Response Bank 2 Sensor 2,ENGINE,MEDIUM
P0160,O2 Sensor Circuit No Activity Detected Bank 2 Sensor 2,ENGINE,HIGH
P0161,O2 Sensor Heater Circuit Malfunction Bank 2 Sensor 2,ENGINE,MEDIUM
P0162,O2 Sensor Circuit Malfunction Bank 2 Sensor 3,ENGINE,HIGH
P0163,O2 Sensor Circuit Low Voltage Bank 2 Sensor 3,ENGINE,HIGH
P0164,O2 Sensor Circuit High Voltage Bank 2 Sensor 3,ENGINE,HIGH
P0165,O2 Sensor Circuit Slow Response Bank 2 Sensor 3,ENGINE,MEDIUM
P0166,O2 Sensor Circuit No Activity Detected Bank 2 Sensor 3,ENGINE,HIGH
P0167,O2 Sensor Heater Circuit Malfunction Bank 2 Sensor 3,ENGINE,MEDIUM
P0168,Engine Fuel Temperature Too High,ENGINE,HIGH
P0169,Incorrect Fuel Composition,ENGINE,MEDIUM
P0170,Fuel Trim Malfunction Bank 1,ENGINE,MEDIUM
P0171,System Too Lean Bank 1,ENGINE,HIGH
P0172,System Too Rich Bank 1,ENGINE,HIGH
P0173,Fuel Trim Malfunction Bank 2,ENGINE,MEDIUM
P0174,System Too Lean Bank 2,ENGINE,HIGH
P0175,System Too Rich Bank 2,ENGINE,HIGH
P0176,Fuel Composition Sensor Circuit Malfunction,ENGINE,LOW
P0177,Fuel Composition Sensor Circuit Range/Performance,ENGINE,LOW
P0178,Fuel Composition Sensor Circuit Low Input,ENGINE,LOW
P0179,Fuel Composition Sensor Circuit High Input,ENGINE,LOW
P0180,Fuel Temperature Sensor A Circuit Malfunction,ENGINE,MEDIUM
P0181,Fuel Temperature Sensor A Circuit Range/Performance,ENGINE,LOW
P0182,Fuel Temperature Sensor A Circuit Low Input,ENGINE,LOW
P0183,Fuel Temperature Sensor A Circuit High Input,ENGINE,LOW
P0184,Fuel Temperature Sensor A Circuit Intermittent,ENGINE,LOW
P0185,Fuel Temperature Sensor B Circuit Malfunction,ENGINE,MEDIUM
P0186,Fuel Temperature Sensor B Circuit Range/Performance,ENGINE,LOW
P0187,Fuel Temperature Sensor B Circuit Low Input,ENGINE,LOW
P0188,Fuel Temperature Sensor B Circuit High Input,ENGINE,LOW
P0189,Fuel Temperature Sensor B Circuit Intermittent,ENGINE,LOW
P0190,Fuel Rail Pressure Sensor Circuit Malfunction,ENGINE,HIGH
P0191,Fuel Rail Pressure Sensor Circuit Range/Performance,ENGINE,MEDIUM
P0192,Fuel Rail Pressure Sensor Circuit Low Input,ENGINE,MEDIUM
P0193,Fuel Rail Pressure Sensor Circuit High Input,ENGINE,MEDIUM
P0194,Fuel Rail Pressure Sensor Circuit Intermittent,ENGINE,MEDIUM
P0195,Engine Oil Temperature Sensor Malfunction,ENGINE,LOW
P0196,Engine Oil Temperature Sensor Range/Performance,ENGINE,LOW
P0197,Engine Oil Temperature Sensor Low,ENGINE,LOW
P0198,Engine Oil Temperature Sensor High,ENGINE,LOW
P0199,Engine Oil Temperature Sensor Intermittent,ENGINE,LOW
P0200,Injector Circuit Malfunction,ENGINE,CRITICAL
P0201,Injector Circuit Malfunction Cylinder 1,ENGINE,CRITICAL
P0202,Injector Circuit Malfunction Cylinder 2,ENGINE,CRITICAL
P0203,Injector Circuit Malfunction Cylinder 3,ENGINE,CRITICAL
P0204,Injector Circuit Malfunction Cylinder 4,ENGINE,CRITICAL
P0205,Injector Circuit Malfunction Cylinder 5,ENGINE,CRITICAL
P0206,Injector Circuit Malfunction Cylinder 6,ENGINE,CRITICAL
P0207,Injector Circuit Malfunction Cylinder 7,ENGINE,CRITICAL
P0208,Injector Circuit Malfunction Cylinder 8,ENGINE,CRITICAL
P0209,Injector Circuit Malfunction Cylinder 9,ENGINE,CRITICAL
P0210,Injector Circuit Malfunction Cylinder 10,ENGINE,CRITICAL
P0211,Injector Circuit Malfunction Cylinder 11,ENGINE,CRITICAL
P0212,Injector Circuit Malfunction Cylinder 12,ENGINE,CRITICAL
P0213,Cold Start Injector 1 Malfunction,ENGINE,MEDIUM
P0214,Cold Start Injector 2 Malfunction,ENGINE,MEDIUM
P0215,Engine Shutoff Solenoid Malfunction,ENGINE,CRITICAL
P0216,Injection Timing Control Circuit Malfunction,ENGINE,HIGH
P0217,Engine Overtemp Condition,ENGINE,CRITICAL
P0218,Transmission Fluid Over Temperature,TRANSMISSION,HIGH
P0219,Engine Overspeed Condition,ENGINE,CRITICAL
P0220,Throttle/Pedal Position Sensor/Switch B Circuit Malfunction,ENGINE,HIGH
P0221,Throttle/Pedal Position Sensor/Switch B Circuit Range/Performance Problem,ENGINE,HIGH
P0222,Throttle/Pedal Position Sensor/Switch B Circuit Low Input,ENGINE,HIGH
P0223,Throttle/Pedal Position Sensor/Switch B Circuit High Input,ENGINE,HIGH
P0224,Throttle/Pedal Position Sensor/Switch B Circuit Intermittent,ENGINE,MEDIUM
P0225,Throttle/Pedal Position Sensor/Switch C Circuit Malfunction,ENGINE,HIGH
P0226,Throttle/Pedal Position Sensor/Switch C Circuit Range/Performance Problem,ENGINE,HIGH
P0227,Throttle/Pedal Position Sensor/Switch C Circuit Low Input,ENGINE,HIGH
P0228,Throttle/Pedal Position Sensor/Switch C Circuit High Input,ENGINE,HIGH
P0229,Throttle/Pedal Position Sensor/Switch C Circuit Intermittent,ENGINE,MEDIUM
P0230,Fuel Pump Primary Circuit Malfunction,ENGINE,CRITICAL
P0231,Fuel Pump Secondary Circuit Low,ENGINE,HIGH
P0232,Fuel Pump Secondary Circuit High,ENGINE,HIGH
P0233,Fuel Pump Secondary Circuit Intermittent,ENGINE,MEDIUM
P0234,Engine Overboost Condition,ENGINE,HIGH
P0235,Turbocharger Boost Sensor A Circuit Malfunction,ENGINE,MEDIUM
P0236,Turbocharger Boost Sensor A Circuit Range/Performance,ENGINE,MEDIUM
P0237,Turbocharger Boost Sensor A Circuit Low,ENGINE,MEDIUM
P0238,Turbocharger Boost Sensor A Circuit High,ENGINE,MEDIUM
P0239,Turbocharger Boost Sensor B Circuit Malfunction,ENGINE,MEDIUM
P0240,Turbocharger Boost Sensor B Circuit Range/Performance,ENGINE,MEDIUM
P0241,Turbocharger Boost Sensor B Circuit Low,ENGINE,MEDIUM
P0242,Turbocharger Boost Sensor B Circuit High,ENGINE,MEDIUM
P0243,Turbocharger Wastegate Solenoid A Malfunction,ENGINE,MEDIUM
P0244,Turbocharger Wastegate Solenoid A Range/Performance,ENGINE,MEDIUM
P0245,Turbocharger Wastegate Solenoid A Low,ENGINE,MEDIUM
P0246,Turbocharger Wastegate Solenoid A High,ENGINE,MEDIUM
P0247,Turbocharger Wastegate Solenoid B Malfunction,ENGINE,MEDIUM
P0248,Turbocharger Wastegate Solenoid B Range/Performance,ENGINE,MEDIUM
P0249,Turbocharger Wastegate Solenoid B Low,ENGINE,MEDIUM
P0250,Turbocharger Wastegate Solenoid B High,ENGINE,MEDIUM
P0251,Injection Pump Fuel Metering Control A Malfunction,ENGINE,HIGH
P0252,Injection Pump Fuel Metering Control A Range/Performance,ENGINE,MEDIUM
P0253,Injection Pump Fuel Metering Control A Low,ENGINE,MEDIUM
P0254,Injection Pump Fuel Metering Control A High,ENGINE,MEDIUM
P0255,Injection Pump Fuel Metering Control A Intermittent,ENGINE,MEDIUM
P0256,Injection Pump Fuel Metering Control B Malfunction,ENGINE,HIGH
P0257,Injection Pump Fuel Metering Control B Range/Performance,ENGINE,MEDIUM
P0258,Injection Pump Fuel Metering Control B Low,ENGINE,MEDIUM
P0259,Injection Pump Fuel Metering Control B High,ENGINE,MEDIUM
P0260,Injection Pump Fuel Metering Control B Intermittent,ENGINE,MEDIUM
P0261,Cylinder 1 Injector Circuit Low,ENGINE,CRITICAL
P0262,Cylinder 1 Injector Circuit High,ENGINE,CRITICAL
P0263,Cylinder 1 Contribution/Balance Fault,ENGINE,HIGH
P0264,Cylinder 2 Injector Circuit Low,ENGINE,CRITICAL
P0265,Cylinder 2 Injector Circuit High,ENGINE,CRITICAL
P0266,Cylinder 2 Contribution/Balance Fault,ENGINE,HIGH
P0267,Cylinder 3 Injector Circuit Low,ENGINE,CRITICAL
P0268,Cylinder 3 Injector Circuit High,ENGINE,CRITICAL
P0269,Cylinder 3 Contribution/Balance Fault,ENGINE,HIGH
P0270,Cylinder 4 Injector Circuit Low,ENGINE,CRITICAL
P0271,Cylinder 4 Injector Circuit High,ENGINE,CRITICAL
P0272,Cylinder 4 Contribution/Balance Fault,ENGINE,HIGH
P0273,Cylinder 5 Injector Circuit Low,ENGINE,CRITICAL
P0274,Cylinder 5 Injector Circuit High,ENGINE,CRITICAL
P0275,Cylinder 5 Contribution/Balance Fault,ENGINE,HIGH
P0276,Cylinder 6 Injector Circuit Low,ENGINE,CRITICAL
P0277,Cylinder 6 Injector Circuit High,ENGINE,CRITICAL
P0278,Cylinder 6 Contribution/Balance Fault,ENGINE,HIGH
P0279,Cylinder 7 Injector Circuit Low,ENGINE,CRITICAL
P0280,Cylinder 7 Injector Circuit High,ENGINE,CRITICAL
P0281,Cylinder 7 Contribution/Balance Fault,ENGINE,HIGH
P0282,Cylinder 8 Injector Circuit Low,ENGINE,CRITICAL
P0283,Cylinder 8 Injector Circuit High,ENGINE,CRITICAL
P0284,Cylinder 8 Contribution/Balance Fault,ENGINE,HIGH
P0285,Cylinder 9 Injector Circuit Low,ENGINE,CRITICAL
P0286,Cylinder 9 Injector Circuit High,ENGINE,CRITICAL
P0287,Cylinder 9 Contribution/Balance Fault,ENGINE,HIGH
P0288,Cylinder 10 Injector Circuit Low,ENGINE,CRITICAL
P0289,Cylinder 10 Injector Circuit High,ENGINE,CRITICAL
P0290,Cylinder 10 Contribution/Balance Fault,ENGINE,HIGH
P0291,Cylinder 11 Injector Circuit Low,ENGINE,CRITICAL
P0292,Cylinder 11 Injector Circuit High,ENGINE,CRITICAL
P0293,Cylinder 11 Contribution/Balance Fault,ENGINE,HIGH
P0294,Cylinder 12 Injector Circuit Low,ENGINE,CRITICAL
P0295,Cylinder 12 Injector Circuit High,ENGINE,CRITICAL
P0296,Cylinder 12 Contribution/Balance Fault,ENGINE,HIGH
P0297,Vehicle Overspeed Condition,ENGINE,CRITICAL
P0298,Engine Oil Over Temperature,ENGINE,HIGH
P0299,Turbo/Supercharger Underboost Condition,ENGINE,MEDIUM
P0300,Random/Multiple Cylinder Misfire Detected,ENGINE,CRITICAL
P0301,Cylinder 1 Misfire Detected,ENGINE,CRITICAL
P0302,Cylinder 2 Misfire Detected,ENGINE,CRITICAL
P0303,Cylinder 3 Misfire Detected,ENGINE,CRITICAL
P0304,Cylinder 4 Misfire Detected,ENGINE,CRITICAL
P0305,Cylinder 5 Misfire Detected,ENGINE,CRITICAL
P0306,Cylinder 6 Misfire Detected,ENGINE,CRITICAL
P0307,Cylinder 7 Misfire Detected,ENGINE,CRITICAL
P0308,Cylinder 8 Misfire Detected,ENGINE,CRITICAL
P0309,Cylinder 9 Misfire Detected,ENGINE,CRITICAL
P0310,Cylinder 10 Misfire Detected,ENGINE,CRITICAL
P0311,Cylinder 11 Misfire Detected,ENGINE,CRITICAL
P0312,Cylinder 12 Misfire Detected,ENGINE,CRITICAL
P0313,Misfire Detected with Low Fuel,ENGINE,CRITICAL
P0314,Single Cylinder Misfire (Cylinder not specified),ENGINE,CRITICAL
P0315,Crankshaft Position System Variation Not Learned,ENGINE,MEDIUM
P0316,Misfire Detected On Startup (First 1000 Revolutions),ENGINE,HIGH
P0317,Rough Road Hardware Not Present,ENGINE,LOW
P0318,Rough Road Signal Sensor A,ENGINE,LOW
P0319,Rough Road Signal Sensor B,ENGINE,LOW
P0320,Ignition/Distributor Engine Speed Input Circuit Malfunction,ENGINE,CRITICAL
P0321,Ignition/Distributor Engine Speed Input Circuit Range/Performance,ENGINE,HIGH
P0322,Ignition/Distributor Engine Speed Input Circuit No Signal,ENGINE,CRITICAL
P0323,Ignition/Distributor Engine Speed Input Circuit Intermittent,ENGINE,HIGH
P0324,Knock Control System Error,ENGINE,HIGH
P0325,Knock Sensor 1 Circuit Malfunction Bank 1 or Single Sensor,ENGINE,MEDIUM
P0326,Knock Sensor 1 Circuit Range/Performance Bank 1 or Single Sensor,ENGINE,MEDIUM
P0327,Knock Sensor 1 Circuit Low Input Bank 1 or Single Sensor,ENGINE,MEDIUM
P0328,Knock Sensor 1 Circuit High Input Bank 1 or Single Sensor,ENGINE,MEDIUM
P0329,Knock Sensor 1 Circuit Intermittent Bank 1 or Single Sensor,ENGINE,LOW
P0330,Knock Sensor 2 Circuit Malfunction Bank 2,ENGINE,MEDIUM
P0331,Knock Sensor 2 Circuit Range/Performance Bank 2,ENGINE,MEDIUM
P0332,Knock Sensor 2 Circuit Low Input Bank 2,ENGINE,MEDIUM
P0333,Knock Sensor 2 Circuit High Input Bank 2,ENGINE,MEDIUM
P0334,Knock Sensor 2 Circuit Intermittent Bank 2,ENGINE,LOW
P0335,Crankshaft Position Sensor A Circuit Malfunction,ENGINE,CRITICAL
P0336,Crankshaft Position Sensor A Circuit Range/Performance,ENGINE,HIGH
P0337,Crankshaft Position Sensor A Circuit Low Input,ENGINE,CRITICAL
P0338,Crankshaft Position Sensor A Circuit High Input,ENGINE,CRITICAL
P0339,Crankshaft Position Sensor A Circuit Intermittent,ENGINE,HIGH
P0340,Camshaft Position Sensor Circuit Malfunction,ENGINE,CRITICAL
P0341,Camshaft Position Sensor Circuit Range/Performance,ENGINE,HIGH
P0342,Camshaft Position Sensor Circuit Low Input,ENGINE,CRITICAL
P0343,Camshaft Position Sensor Circuit High Input,ENGINE,CRITICAL
P0344,Camshaft Position Sensor Circuit Intermittent,ENGINE,HIGH
P0345,Camshaft Position Sensor A Circuit Malfunction Bank 2,ENGINE,CRITICAL
P0346,Camshaft Position Sensor A Circuit Range/Performance Bank 2,ENGINE,HIGH
P0347,Camshaft Position Sensor A Circuit Low Input Bank 2,ENGINE,CRITICAL
P0348,Camshaft Position Sensor A Circuit High Input Bank 2,ENGINE,CRITICAL
P0349,Camshaft Position Sensor A Circuit Intermittent Bank 2,ENGINE,HIGH
P0350,Ignition Coil Primary/Secondary Circuit Malfunction,ENGINE,CRITICAL
P0351,Ignition Coil A Primary/Secondary Circuit Malfunction,ENGINE,CRITICAL
P0352,Ignition Coil B Primary/Secondary Circuit Malfunction,ENGINE,CRITICAL
P0353,Ignition Coil C Primary/Secondary Circuit Malfunction,ENGINE,CRITICAL
P0354,Ignition Coil D Primary/Secondary Circuit Malfunction,ENGINE,CRITICAL
P0355,Ignition Coil E Primary/Secondary Circuit Malfunction,ENGINE,CRITICAL
P0356,Ignition Coil F Primary/Secondary Circuit Malfunction,ENGINE,CRITICAL
P0357,Ignition Coil G Primary/Secondary Circuit Malfunction,ENGINE,CRITICAL
P0358,Ignition Coil H Primary/Secondary Circuit Malfunction,ENGINE,CRITICAL
P0359,Ignition Coil I Primary/Secondary Circuit Malfunction,ENGINE,CRITICAL
P0360,Ignition Coil J Primary/Secondary Circuit Malfunction,ENGINE,CRITICAL
P0361,Ignition Coil K Primary/Secondary Circuit Malfunction,ENGINE,CRITICAL
P0362,Ignition Coil L Primary/Secondary Circuit Malfunction,ENGINE,CRITICAL
